#,Name of scholarship,Degree Type,Deadline,Country ,Scholarship Coverage,Language Proficiency,Other relevant notes,Application Link
1,Open University Milton Keynes,PhD,Opens autumn 2025,UK,"full tuition, stipend or maintenance (monthly/annually)",IELTS,"The Open University Faculty of Business and Law
Only for full time study",https://business-school.open.ac.uk/research/research-degrees/phd-studentships
2,Tanya Baker Asad Palestinian American Research Center,PhD,10-Jan-2025,Anywhere,partial tuition,Depends on university or degree program,"Women only. Award is from 5,000-25,000 USD, can be used for any expenses related to the pursuit of the degree (e.g. tuition, research expenses, dissertation write-up support, living expenses). Applicants should either be enrolled or in the process of enrolling in a doctoral program in the humanities or social sciences at an accredited university anywhere in the world.
","Website is temporarily unavailable

https://www.parc-us-pal.org/tanya-baker-asad-scholarship/"
3,University of Alberta International Admissions Scholarship,Bachelor's,10-Jan-2025,Canada,one-time specific value,"IELTS, TOEFL, Duolingo Test",University of Alberta. Max 5000 CAD. No need for seperate application. All applicants are automatically considered for an award.,https://www.ualberta.ca/en/admissions/tuition-and-scholarships/international-undergraduate-scholarships/index.html
4,"London Interdisciplinary Social Science
Doctoral Training Partnership","Master's, PhD",closed,UK,"stipend or maintenance (monthly/annually), partial tuition",Depends on university or degree program,See slides from info session here: https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fliss-dtp.ac.uk%2Fwp-content%2Fuploads%2F2023%2F12%2FStudent-Briefing-December-2023-final-1.pptx&wdOrigin=BROWSELINK,https://liss-dtp.ac.uk/applying-to-liss/open-competition/
5,Salam Scholarship,"Bachelor's, Master's, PhD",closed,Northern Ireland (UK),"full tuition, accommodation, stipend or maintenance (monthly/annually), travel allowance",IELTS,"Women only. Other English tests may be accepted, but most courses require IELTS.",https://www.ulster.ac.uk/scholarships/the-salam-scholarships?fbclid=IwY2xjawE1L1dleHRuA2FlbQIxMAABHQHIaELIOeAK1WrFA2yPs1ktYF31GiElgheaf9hAbnaltPiPijvACZnNHg_aem_2ZRx3dpQ2EBirOuHFw5MMQ
6,Dr Mai Yamani Scholarships at SOAS,Master's,closed,UK,"full tuition, stipend or maintenance (monthly/annually)","IELTS, TOEFL","SOAS University of London. See English language requirements here: https://www.soas.ac.uk/english-language-requirements.

Any full-time (1 year) taught master’s degree programme beginning in 2025/26.
Part-time and 2-year courses are not eligible.

Each award will provide tuition fees in full and a stipend of up to £17,340 to support living and study costs. There will also be one Dr Mai Yamani Scholarship available with accommodation provided by GoodEnough College. This scholarship will cover tuition fees in full, accommodation and up to £3,340 to be paid to the awardee.",https://www.soas.ac.uk/study/student-life/finance/scholarships/dr-mai-yamani-scholarship
7,Danish Government Scholarship,Master's,closed,Denmark,"full tuition, partial tuition","IELTS, TOEFL",Only for certain Master's in Engineering degrees.,https://www.sdu.dk/en/uddannelse/fees_and_funding/scholarships
8,Sparkasse// Constructor University,Bachelor's,closed,Germany,partial tuition,"IELTS, TOEFL, Duolingo Test","For BSc Mathematics, Modeling and Data Analytics at Constructor University. The scholarship will cover a part of the tuition fees in the maximum amount of €3,600 for Fall 2025",https://constructor.university/programs/undergraduate-education/mathematics-modeling-data-analytics/financing#sparkasse-mathematics-scholarship
9,California Pathways Scholarship – Sacramento State,Bachelor's,closed,USA,"full tuition, stipend or maintenance (monthly/annually), accommodation",Duolingo Test,For 2 high-achieving students from Gaza per year. Requires service project for Gaza's revitalization. Applicants must complete Tawjihi or high school equivalent by 2025. GPA minimum: 3.2 to maintain scholarship. Community engagement and project participation required.,https://docs.google.com/forms/d/e/1FAIpQLSeRckMNBLiS9tdczwJyTd8BR18T6lCLzT4KQEtAHyNBVu-aPg/viewform
10,Turkiye Scholarships,"Bachelor's, Master's, PhD",closed,Turkiye,"full tuition, accommodation, travel allowance, stipend or maintenance (monthly/annually), health allowance",Depends on university or degree program,"Applications are accepted between 10 Janurary and 20 February of every year
1 year Turkish language course is also provided",https://www.turkiyeburslari.gov.tr/
11,British Council's HESPAL (Higher Education Scholarships for Palestinians) scheme,"Master's, PhD",closed,UK,"full tuition, stipend or maintenance (monthly/annually), travel allowance",IELTS,"Application cycle for the 2026/2027 academic year is expected to open in November 2025

Other English tests besides IELTS may be accepted. 

Scholarship administered with select partner universities, including Lancaster (https://www.lancaster.ac.uk/study/fees-and-funding/scholarships-and-bursaries/higher-education-scholarships-for-palestinians/ ) and Sussex (https://archive.sussex.ac.uk/study/scholarships/1611-HESPAL-Higher-Education-Scholarships-Scheme-for-the-Palestinian-Territories )",https://www.britishcouncil.ps/en/study-uk/scholarships/hespal 
12,Wells Mountain Initiative (WMI) Scholarship,Bachelor's,1-Mar-2026,Developing Countries,stipend or maintenance (monthly/annually),Depends on university or degree program,"Focus on community service and leadership
Completed 2026 applications will start to be accepted on 01 Dec 2025
Will be studying in their home country or another country in the developing world",https://www.wellsmountaininitiative.org/
13,JetBrains// Constructor University,Bachelor's,closed,Germany,"full tuition, accommodation, stipend or maintenance (monthly/annually), travel allowance","IELTS, TOEFL, Duolingo Test","For BSc Software, Data and Technology - Financing at Constructor University. You must pass the scholarship test, which seems time-sensitive and dependent on reliable internet: You will receive a unique link to the test which is valid for 7 days. You will have 4 hours to complete all the tasks.",https://constructor.university/programs/undergraduate-education/software-data-and-technology/sdt-financing#expand
14,Gazan Humanitarian Scholarship – University of Leeds,Master's,closed,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost, health allowance, travel allowance","IELTS, TOEFL","For Gazans displaced due to conflict, residing outside the UK
Covers most full-time postgraduate taught degrees",https://www.leeds.ac.uk/masters-scholarships-bursaries/doc/gazan-humanitarian-scholarship-1
15,Durham Palestine Education Trust,Master's,closed,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost, travel allowance, accommodation",IELTS,They are offering at least 5 IELTS Fee scholarships to cover IELTS test fees so that way students can apply to the Durham Master's scholarship in 2026. More info here: https://durhampalestine.webspace.durham.ac.uk/scholarships/ieltsscholarship/ ,https://durhampalestine.webspace.durham.ac.uk/scholarships/
16,Scholarships for Palestinian Students in Singapore,"Master's, Bachelor's",closed,Singapore,"full tuition, stipend or maintenance (monthly/annually), accommodation, travel allowance",,Supports two Palestinian students annually at top institutions,https://www.uni-med.net/partner-news/call-for-applications-scholarships-for-palestinian-students-in-singapore-apply-by-march-30th-2025/
17,Humanitarian Scholarship at University of Manchester,Bachelor's,closed,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost","IELTS, TOEFL",University of Manchester,https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/
18,Lutfia Rabbani Scholarship fund,Master's,closed,The Netherlands,one-time specific value,Depends on university or degree program,"Leiden University. Up to € 30,000 for one academic year (maximum), depending on tuition fees and budget. ",https://www.universiteitleiden.nl/en/scholarships/sea/leiden-university-fund---lutfia-rabbani-scholarship-fund
19,St Andrews Education for Palestine Students (STEPS),Master's,closed,UK,"full tuition, accommodation, stipend or maintenance (monthly/annually), travel allowance","IELTS, TOEFL","University of St. Andrews, for one-year postgraduate taught course of study",https://www.st-andrews.ac.uk/study/fees-and-funding/scholarships/scholarships-catalogue/postgraduate-scholarships/st-andrews-education-for-palestinian-students/
20,"Bayer Foundation Scientific Fellowships for Master, PhD, and Medical Students",Research Fellowship,closed,Germany ,one-time specific value,unclear,"Eligible for up to 10.000 € funding and can undertake fellowships for up to six months. Please note that you must be an enrolled student.

https://www.bayer-foundation.com/sites/g/files/vrxlpx38116/files/2024-12/Final_2025_Guidelines_Scientific_fellowships_EN_0.pdf ","https://www.bayer-foundation.com/science/fellowships-stipends#ForStudentTeachers 
"
21,Islamic Development Bank,"Bachelor's, Master's, PhD, Postdoc",closed,Various ,"full tuition, stipend or maintenance (monthly/annually)",Depends on university or degree program,Islamic Development Bank offers various scholarships with different requirements,https://www.isdb.org/scholarships-backup/scholarship-programs
22,International Merit Scholarship (Sheffield Uni),Bachelor's,Closed,UK,partial tuition,IELTS,"Sheffield University.  £10,000 award per year of tuition. The maximum value is £30,000 for three year programmes and £40,000 for four year programmes",https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/undergraduate
23,University of Bristol Phyllis Mary Morris,Master's,Closed,UK,one-time specific value,"IELTS, TOEFL, Depends on university or degree program",University of Bristol. £2000 one-time living cost bursary for an international student on a postgraduate taught programme in the School of Geographical Sciences,https://www.bristol.ac.uk/students/support/finances/scholarships/phyllis-mary-morris-bursaries/
24,University of Bristol Michael Wong Pakshong,Master's,Closed,UK,one-time specific value,"IELTS, TOEFL, Depends on university or degree program","University of Bristol. £3000 one-time living cost bursary for postgraduate taught programme in the Faculty of Arts, Social Sciences and Law",https://www.bristol.ac.uk/students/support/finances/scholarships/wong-pakshong-bursary/
25,Sir Siegmund Warburg Scholarship,Master's,closed,UK,"stipend or maintenance (monthly/annually), full tuition",Depends on university or degree program,"London School of Economics (LSE) studying a one year taught master's programme in MSc Human Rights or MSc Human Rights and Politics. For your application to be considered you must have met both of the following conditions by the deadline: 

- received a conditional or unconditional offer of study at LSE

- sucessfully submitted a Graduate Financial Support Application",https://www.lse.ac.uk/study-at-lse/Graduate/fees-and-funding/sir-siegmund-warburg-scholarship
26,LSE International Student Scholarship Graduate Support Scheme,Master's,closed,UK,one-time specific value,"IELTS, TOEFL","London School of Economics. For diploma and taught master's study

The value of GSS awards ranges from £5,000 to £15,000, depending on financial need.

This scheme is aimed at supplementing applicants who already have some form of funding secured and need a bit more to cover all the costs at LSE. If you have a greater need, and you submit a personal statement with your Graduate Financial Support Application, you will be considered for other LSE scholarships which can offer a higher level of funding.",https://www.lse.ac.uk/study-at-lse/Graduate/fees-and-funding/pgt-application-overview
27,Goldsmiths Palestinian Scholarship,Master's,closed,UK,"full tuition, travel allowance, stipend or maintenance (monthly/annually)",unclear,"Goldsmiths University of London.
Full tuition fee waiver, a living allowance of £19,550 for their year of study, and we will also pay for a return trip to and from the UK.",https://www.gold.ac.uk/fees-funding/scholarships/palestinian-scholarship/
28,Atal Bihari Vajpayee General Scholarship (India),"Master's, PhD, Bachelor's",closed,India,"full tuition, stipend or maintenance (monthly/annually), partial tuition","TOEFL, IELTS",Must meet academic/language requirements of Indian institutions,https://www.birzeit.edu/en/announcements/call-applications-atal-bihari-vajpayee-general-scholarship-scheme-a1201-palestinian
29,UCL Humanitarian Scholarship for students fleeing conflict,Master's,closed,UK,"full tuition, visa cost, stipend or maintenance (monthly/annually), health allowance, travel allowance","IELTS, TOEFL",University College London. ,https://www.ucl.ac.uk/scholarships/ucl-humanitarian-scholarship
30,Scholarships for Palestine – University of Sussex,Master's,1-Jun-2025,United Kingdom,"full tuition, stipend or maintenance (monthly/annually)",,Priority for those from Gaza or refugee camps; offer required,https://www.sussex.ac.uk/study/fees-funding/masters-scholarships/view/1801-Scholarships-for-Palestine
31,Scholarships for Palestine – University of Sussex,Master's,closed,UK,"full tuition, stipend or maintenance (monthly/annually)",Duolingo Test,"Priority for those from Gaza or refugee camps; offer required
Must have offer to study at Sussex (starting Sept 2025); open to holders of Palestinian ID/travel docs; priority given to applicants from Gaza, refugee camps, or those displaced after October 2023; not open to those with a Master’s degree or previous international study experience.",https://www.sussex.ac.uk/study/fees-funding/masters-scholarships/view/1801-Scholarships-for-Palestine
